Experiment_ID,Model,Accuracy,Precision,Recall,Macro_F1,Weighted_F1,AUC_No_Disease,AUC_Bacterial,AUC_Viral,LR,Batch_Size
E1,E1_DenseNet121,0.7902995720399429,0.7895000033719762,0.7966970457812398,0.7913953667206283,0.7938205672381355,0.9962471617189471,0.9074527071102414,0.8510730981725458,0.001,16
E1,E1_EfficientNetB0,0.8159771754636234,0.8169916963593972,0.8078778372586924,0.812077656255449,0.8174322724918858,0.9973614498360104,0.9271281800391388,0.8835847853803657,0.001,16
E2,E2_DenseNet121,0.81169757489301,0.8018796335899628,0.8063905760879098,0.8039298487243439,0.8102499880371853,0.9963627953914725,0.9113747553816047,0.8610284742881428,0.001,32
E2,E2_EfficientNetB0,0.8045649072753209,0.7981156609806068,0.8157526242140704,0.8046776536225956,0.8059398875822309,0.9977083508535868,0.9127364644487932,0.8607947301317467,0.001,32
E3,E3_DenseNet121,0.8231098430813124,0.8140392550462808,0.8320176517239933,0.8214683041344643,0.823195671198386,0.9974770835085358,0.9310665362035224,0.8847003824904377,0.0001,32
E3,E3_EfficientNetB0,0.8473609129814551,0.8478435199841824,0.8524010653184325,0.8491678572359417,0.849650116258419,0.9983916407366916,0.9381360078277887,0.906236719082023,0.0001,32
E4,E4_DenseNet121,0.8231098430813124,0.8188806719155833,0.8303485638790707,0.8236452936659334,0.8243575167725984,0.9976663022453957,0.925815394651011,0.8825010624734382,0.0001,64
E4,E4_EfficientNetB0,0.8359486447931527,0.8374906021106622,0.8403068509812445,0.8378662654029855,0.8385395191051239,0.9973299133798671,0.9289220482713634,0.8939332766680832,0.0001,64
E5,E5_DenseNet121,0.7960057061340942,0.8082718390193199,0.8068824374973786,0.8014600383705534,0.8033953827415498,0.9915797662097384,0.920001630789302,0.8672120696982576,0.0005,32
E5,E5_EfficientNetB0,0.8487874465049928,0.8467951169505694,0.8449275838928734,0.8458317442970092,0.8492390624915208,0.9950698006895972,0.93455642530985,0.899320016999575,0.0005,32
